id_lab,id_field,tl,ww_total,sex,gon_cond,ww_gon,ww_liver,ww_musc,fin_clip,Otolith (Y/N) (#)
COR042721001,04272102R,383,597,M,2,1.17,6.94,12.05,Y,Y 2
COR042721002,04272108R,445,993,M,2,2.79,10.15,9.46,Y,Y 2
COR042721003,04272110R,454,936,F,5,6.49,11.87,18.37,Y,Y 2
COR042721004,04272105R,487,1273,M,2,5.7,16.89,17.96,Y,Y 2
COR042721005,04272107R,425,766,F,5,4.51,8.96,25.36,Y,Y 2
COR042721006,04272111R,454,852,M,2,1.68,8.14,5.85,Y,Y 2
COR042721007,04272104R,415,882,F,5,4.42,12.05,12.61,Y,Y 2
COR042721008,04272109R,487,1144,M,6,1.71,6.5,10.3,Y,Y 2
COR042721009,04272103R,487,1289,M,2,2.4,11.28,17.2,Y,Y 2
COR042721010,04272101R,431,721,M,2,4.01,6.04,9.75,Y,Y 2
COR042721011,04272106R,444,798,M,3,18.16,7.75,13.09,Y,Y 1
COR033121001,33121012,662,3073,F,5,32.49,34.2,25.24,Y,Y 2
COR042721012,04272105L,690,3825,F,4,839.9,26.36,25.42,Y,Y 2
COR042721013,04272104L,472,1033,F,2,5.79,26.36,14.88,Y,Y 2
COR042721014,04272108L,554,1935,F,5,11.94,11.1,24.64,Y,Y2
COR042721015,04272110L,471,1111,F,2,7.13,13.08,17.03,Y,Y2
COR042721016,04272109L,435,813,F,5,2.31,9.91,8.6,Y,Y2
COR042721017,04272107L,423,904,M,6,1.48,9.09,10.4,Y,Y2
COR042721018,04272106L,428,790,M,5,1.81,12.35,4.6,Y,Y2
COR042721019,04272102L,579,1959,F,5,11.2,4.86,16.8,Y,Y2
COR042721020,04272101L,407,678,F,2,0.85,14.93,9.09,Y,Y2
COR042721021,4272103L,440,980,F,5,5.65,5.88,8.88,Y,Y2
COR042821001,04282102L,511,1557,F,5,10.57,13.23,21.89,Y,Y1
COR042821002,04282101R,469,1150,F,5,6.16,29.35,12.09,Y,Y2
COR042821003,04282101L,443,887,F,5,5.69,15.4,12.52,Y,Y2
COR042821004,04282103L,422,718,M,5,1.43,9.52,11.98,Y,Y2
,,473.7692308,1217.846154,,3.923076923,38.36307692,13.16115385,14.46384615,,
